step,amount,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER,original_error,is_transfer_or_cashout,fraud_prone,transfer_high_amount
163,175744.09,0,0,1,0,0,0,-175744.09,1,1,0
329,198498.14,0,1,0,0,0,0,-197331.34446204922,0,0,0
180,21188.48,0,0,0,0,1,0,20737.57976980219,0,0,0
13,1573.44,0,0,0,0,1,0,206925.32982273508,0,0,0
346,48968.89,0,0,0,0,1,0,-48968.89,0,0,0
259,406947.41,0,0,1,0,0,0,-406947.41,1,1,0
326,20492.44,0,0,0,0,1,0,-20492.44,0,0,0
278,5588.75,0,0,1,0,0,0,-5588.75,1,1,0
306,521986.29,1,0,0,0,0,1,0.0,1,1,1
202,1590.12,0,0,0,0,1,0,-1590.12,0,0,0
495,58737.53,1,0,0,0,0,1,0.0,1,1,0
134,327201.34,0,1,0,0,0,0,-323721.04895280756,0,0,0
401,488340.95,0,1,0,0,0,0,-405511.20546834165,0,0,0
187,231108.2,0,0,1,0,0,0,-200313.2,1,1,0
392,251832.96,1,0,0,0,0,1,0.0,1,1,1
491,449199.47,1,0,1,0,0,0,0.0,1,1,0
330,64.88,0,1,0,0,0,0,87.70888980597684,0,0,0
306,137872.73,0,0,1,0,0,0,-132354.73,1,1,0
568,30790.13,1,0,1,0,0,0,0.0,1,1,0
457,145482.09,1,0,0,0,0,1,0.0,1,1,0
44,44571.94,1,0,1,0,0,0,0.0,1,1,0
123,6351930.74,1,0,1,0,0,0,0.0,1,1,0
202,109312.59,0,0,1,0,0,0,-88881.59,1,1,0
276,3465.48,0,0,0,0,1,0,56217.58280283512,0,0,0
13,8384.59,0,0,0,0,1,0,86852.03789632385,0,0,0
154,179211.94,0,1,0,0,0,0,5764708.64241291,0,0,0
311,28567.13,0,0,1,0,0,0,133046.12145268335,1,1,0
182,13913.32,0,0,0,0,1,0,6478.9021856008185,0,0,0
503,854065.31,1,0,1,0,0,0,0.0,1,1,0
41,37637.74,0,0,1,0,0,0,-37073.74,1,1,0
320,248409.56,1,0,1,0,0,0,0.0,1,1,0
352,98847.07,0,1,0,0,0,0,6443712.0611632075,0,0,0
231,196041.19,0,0,0,0,0,1,-184576.19,1,1,0
302,3393.74,0,0,0,0,1,0,-2749.74,0,0,0
47,2064.18,0,0,0,0,1,0,-2064.18,0,0,0
256,100728.27,0,0,1,0,0,0,-100728.27,1,1,0
11,67088.56,0,0,1,0,0,0,-16632.559999999998,1,1,0
187,1667.5,0,0,0,0,1,0,38693.93626301222,0,0,0
191,731.01,0,0,0,0,1,0,71695.37964853965,0,0,0
211,68583.95,0,0,1,0,0,0,-68583.95,1,1,0
324,22817.92,0,0,0,0,1,0,266131.07820506365,0,0,0
298,439265.64,0,1,0,0,0,0,6586058.704316684,0,0,0
552,22824.08,1,0,0,0,0,1,0.0,1,1,0
260,252412.26,0,0,1,0,0,0,-252412.26,1,1,0
226,69188.19,0,0,1,0,0,0,62497.07693225492,1,1,0
180,270043.36,0,0,1,0,0,0,-147602.50999999998,1,1,0
333,15735.82,0,0,0,0,1,0,19317.310680586394,0,0,0
607,265680.73,1,0,1,0,0,0,0.0,1,1,0
165,154336.01,0,1,0,0,0,0,6265882.421280092,0,0,0
142,45116.62,0,0,1,0,0,0,-45116.62,1,1,0
354,276707.56,0,1,0,0,0,0,-253119.1725690883,0,0,0
158,249600.97,0,0,1,0,0,0,-249600.97,1,1,0
162,43328.57,0,0,1,0,0,0,55570.50437757689,1,1,0
387,4892193.09,1,0,0,0,0,1,-15.403151449747384,1,1,1
534,1390332.39,1,0,0,0,0,1,0.0,1,1,1
70,1036789.41,1,0,0,0,0,1,0.0,1,1,1
205,137888.01,0,0,1,0,0,0,-134262.01,1,1,0
101,2388251.16,1,0,0,0,0,1,0.0,1,1,1
10,110564.6,0,1,0,0,0,0,5945826.785281385,0,0,0
10,126831.6,0,0,1,0,0,0,-126831.6,1,1,0
225,198943.32,0,0,1,0,0,0,54509.48365143585,1,1,0
546,99656.93,1,0,0,0,0,1,0.0,1,1,0
170,6302888.93,1,0,1,0,0,0,0.0,1,1,0
159,206329.82,0,0,1,0,0,0,-132757.82,1,1,0
323,235458.67,1,0,1,0,0,0,0.0,1,1,0
335,8294.61,0,0,0,0,1,0,12793.932456640141,0,0,0
15,13574.4,0,0,0,0,1,0,122968.41021379206,0,0,0
261,4128.67,0,0,0,0,1,0,16644.609514435702,0,0,0
33,14671.09,0,1,0,0,0,0,10907640.422337923,0,0,0
94,13369.21,0,1,0,0,0,0,6144169.324640796,0,0,0
236,88400.68,0,0,1,0,0,0,-88400.68,1,1,0
351,4015.85,0,0,0,0,1,0,-3856.85,0,0,0
138,234723.4,1,0,1,0,0,0,0.0,1,1,0
323,11956.55,0,0,0,0,1,0,-11956.55,0,0,0
206,6142.01,0,0,0,0,1,0,-6142.01,0,0,0
40,6188772.44,1,0,0,0,0,1,0.0,1,1,1
354,169.72,0,0,0,0,1,0,46746.02726406202,0,0,0
36,2868.14,0,0,1,0,0,0,-2868.14,1,1,0
188,64486.48,0,0,1,0,0,0,2190.824005566268,1,1,0
232,62102.43,0,0,1,0,0,0,-62102.43,1,1,0
322,110708.04,0,1,0,0,0,0,8405650.599582925,0,0,0
706,265961.0,1,0,1,0,0,0,0.0,1,1,0
41,32213.58,0,0,1,0,0,0,-32213.58,1,1,0
429,101405.13,0,0,1,0,0,0,-90162.13,1,1,0
205,7836.16,0,0,0,0,1,0,-7609.16,0,0,0
37,46689.01,0,0,1,0,0,0,-46689.01,1,1,0
279,126814.34,0,0,1,0,0,0,-39510.34,1,1,0
692,13791.86,0,0,0,0,1,0,-13791.86,0,0,0
32,401575.19,1,0,0,0,0,1,0.0,1,1,1
383,167907.12,1,0,1,0,0,0,0.0,1,1,0
166,506984.71,0,0,0,0,0,1,-506984.71,1,1,1
286,132943.98,1,0,1,0,0,0,0.0,1,1,0
661,477023.26,0,0,1,0,0,0,-477023.26,1,1,0
298,488030.08,1,0,1,0,0,0,0.0,1,1,0
202,46570.15,0,1,0,0,0,0,-46534.89972377816,0,0,0
251,166566.6,0,1,0,0,0,0,9721632.206441047,0,0,0
513,217506.28,1,0,1,0,0,0,0.0,1,1,0
353,936.4,0,0,0,0,1,0,51270.30490198261,0,0,0
619,1289142.33,1,0,1,0,0,0,0.0,1,1,0
396,31266.98,0,0,0,0,1,0,175673.99354031985,0,0,0
42,6508.67,0,0,0,0,1,0,20996.747355207815,0,0,0
324,33318.56,0,0,0,0,1,0,-33171.56,0,0,0
309,445.87,0,0,0,0,1,0,-445.87,0,0,0
299,585622.16,0,0,1,0,0,0,-585622.16,1,1,0
234,15658.6,0,0,0,0,1,0,-15658.6,0,0,0
278,3974.74,0,0,0,0,1,0,356384.83619492553,0,0,0
28,491517.77,1,0,1,0,0,0,0.0,1,1,0
259,496707.37,0,1,0,0,0,0,4455728.4190280335,0,0,0
188,3809.32,0,0,0,0,1,0,-3809.32,0,0,0
185,24976.16,0,1,0,0,0,0,-12799.683100134993,0,0,0
130,533249.63,0,0,0,0,0,1,-533249.63,1,1,1
186,105448.9,0,0,1,0,0,0,-35724.899999999994,1,1,0
274,529659.95,1,0,1,0,0,0,0.0,1,1,0
528,392767.71,1,0,0,0,0,1,0.0,1,1,1
185,105709.5,0,1,0,0,0,0,-70449.35639104818,0,0,0
350,55048.44,0,0,1,0,0,0,-54902.44,1,1,0
275,4238.43,0,0,0,0,0,1,29601.10405152849,1,1,0
187,174275.36,0,0,1,0,0,0,-174275.36,1,1,0
395,148768.89,0,0,1,0,0,0,-47258.890000000014,1,1,0
565,1167816.02,1,0,0,0,0,1,0.0,1,1,1
497,2123610.45,1,0,1,0,0,0,0.0,1,1,0
16,11871.17,0,0,0,0,1,0,-11871.17,0,0,0
725,123259.24,1,0,1,0,0,0,0.0,1,1,0
722,59263.88,1,0,0,0,0,1,0.0,1,1,0
280,30635.41,0,0,1,0,0,0,-30635.41,1,1,0
37,503793.25,1,0,1,0,0,0,0.0,1,1,0
4,7331.37,0,0,0,0,1,0,-7331.37,0,0,0
665,290491.12,1,0,1,0,0,0,0.0,1,1,0
162,8781.22,0,0,0,0,1,0,-8781.22,0,0,0
163,12009.1,0,0,0,0,1,0,2929.914209359338,0,0,0
207,371424.45,0,0,1,0,0,0,-360311.45,1,1,0
448,369505.41,1,0,1,0,0,0,0.0,1,1,0
402,81429.94,0,0,1,0,0,0,30523.733369189387,1,1,0
495,987470.17,1,0,1,0,0,0,0.0,1,1,0
303,5614246.07,1,0,1,0,0,0,0.0,1,1,0
283,155544.6,0,0,1,0,0,0,-155287.6,1,1,0
160,34488.76,0,0,0,0,1,0,42617.57970431822,0,0,0
404,2754759.04,1,0,0,0,0,1,0.0,1,1,1
331,250303.25,0,0,1,0,0,0,-246752.25,1,1,0
305,717.93,0,0,0,0,1,0,158109.43887530436,0,0,0
444,408864.84,1,0,1,0,0,0,0.0,1,1,0
159,199346.15,0,0,1,0,0,0,-199346.15,1,1,0
43,1162.86,0,0,0,0,1,0,37260.613998590336,0,0,0
132,3735525.0,1,0,0,0,0,1,0.0,1,1,1
380,21542.94,0,0,0,0,1,0,349664.0852323903,0,0,0
285,3243.87,0,0,0,0,1,0,7886.155871954989,0,0,0
256,6097.46,0,0,0,0,1,0,-3324.62,0,0,0
405,1889.68,0,0,0,0,1,0,67226.20400139793,0,0,0
233,30825.82,0,0,0,0,1,0,-30825.82,0,0,0
386,879810.51,1,0,0,0,0,1,0.0,1,1,1
9,2539898.07,1,0,0,0,0,1,0.0,1,1,1
406,91698.25,0,1,0,0,0,0,-85147.745385027,0,0,0
36,304098.29,0,0,1,0,0,0,-286941.29,1,1,0
285,285.21,0,0,0,0,1,0,2780.8562783968346,0,0,0
328,1125709.35,0,0,0,0,0,1,-1125709.35,1,1,1
205,2454.04,0,0,0,0,1,0,27854.724838848768,0,0,0
661,65450.65,0,1,0,0,0,0,10093610.949699767,0,0,0
477,6646879.72,1,0,0,0,0,1,0.0,1,1,1
206,80242.99,0,1,0,0,0,0,-60169.5062099651,0,0,0
162,3715.04,0,0,0,0,1,0,-3715.04,0,0,0
134,15619.17,0,0,0,0,1,0,-15619.17,0,0,0
16,452128.93,0,1,0,0,0,0,-400758.0593666571,0,0,0
516,2625132.51,1,0,1,0,0,0,0.0,1,1,0
400,79360.98,0,1,0,0,0,0,5382850.4722081665,0,0,0
347,573807.28,0,0,1,0,0,0,-573320.28,1,1,0
686,160088.68,1,0,1,0,0,0,0.0,1,1,0
17,9272.72,0,0,0,0,1,0,-7999.719999999999,0,0,0
47,19282.6,0,0,0,0,1,0,14840.794150584123,0,0,0
140,24864.2,0,1,0,0,0,0,5872626.195752534,0,0,0
229,310315.53,0,1,0,0,0,0,9548348.395145902,0,0,0
155,8452.31,0,0,0,0,1,0,72639.67656559148,0,0,0
406,33746.92,0,0,1,0,0,0,-33746.92,1,1,0
258,34750.16,0,1,0,0,0,0,-12357.113524953864,0,0,0
120,65772.61,0,1,0,0,0,0,2217259.520576193,0,0,0
33,12983.17,0,0,0,0,1,0,-1568.17,0,0,0
153,82870.19,0,0,1,0,0,0,-52475.19,1,1,0
253,229203.37,0,1,0,0,0,0,2577410.24400362,0,0,0
351,14160.4,0,0,1,0,0,0,-2564.3999999999996,1,1,0
321,20440.79,0,0,1,0,0,0,-20440.79,1,1,0
328,40420.3,0,0,1,0,0,0,-40420.3,1,1,0
305,145115.61,0,0,1,0,0,0,-125197.60999999999,1,1,0
524,445521.42,0,0,1,0,0,0,-445521.42,1,1,0
308,443682.96,1,0,0,0,0,1,0.0,1,1,1
137,43571.3,0,1,0,0,0,0,10272828.206538366,0,0,0
306,237356.29,0,1,0,0,0,0,365016.069148483,0,0,0
256,40231.56,1,0,1,0,0,0,0.0,1,1,0
275,3024.16,0,0,0,0,1,0,152735.65345135378,0,0,0
381,4514.11,0,0,0,0,1,0,11842.709655284274,0,0,0
352,23141.72,0,0,0,0,1,0,-13151.720000000001,0,0,0
611,49965.92,1,0,1,0,0,0,0.0,1,1,0
398,250669.97,0,0,1,0,0,0,-250669.97,1,1,0
